,0
335,"{'label': 'POSITIVE', 'score': 0.9969581365585327}"
336,"{'label': 'POSITIVE', 'score': 0.9972975850105286}"
337,"{'label': 'POSITIVE', 'score': 0.9984470009803772}"
338,"{'label': 'POSITIVE', 'score': 0.99643874168396}"
339,"{'label': 'POSITIVE', 'score': 0.9975541234016418}"
340,"{'label': 'POSITIVE', 'score': 0.9983596205711365}"
341,"{'label': 'POSITIVE', 'score': 0.9941832423210144}"
342,"{'label': 'POSITIVE', 'score': 0.9972497820854187}"
343,"{'label': 'POSITIVE', 'score': 0.9981759786605835}"
344,"{'label': 'POSITIVE', 'score': 0.9984867572784424}"
345,"{'label': 'NEGATIVE', 'score': 0.9875701069831848}"
346,"{'label': 'POSITIVE', 'score': 0.9981447458267212}"
347,"{'label': 'POSITIVE', 'score': 0.9871533513069153}"
348,"{'label': 'NEGATIVE', 'score': 0.9978978633880615}"
349,"{'label': 'POSITIVE', 'score': 0.9977515339851379}"
350,"{'label': 'POSITIVE', 'score': 0.9951024055480957}"
351,"{'label': 'POSITIVE', 'score': 0.9973016977310181}"
352,"{'label': 'POSITIVE', 'score': 0.9980857372283936}"
353,"{'label': 'POSITIVE', 'score': 0.9916717410087585}"
354,"{'label': 'POSITIVE', 'score': 0.9985219836235046}"
355,"{'label': 'POSITIVE', 'score': 0.9982525706291199}"
356,"{'label': 'POSITIVE', 'score': 0.9973804354667664}"
357,"{'label': 'POSITIVE', 'score': 0.9970788955688477}"
358,"{'label': 'POSITIVE', 'score': 0.9957268238067627}"
359,"{'label': 'POSITIVE', 'score': 0.9987020492553711}"
360,"{'label': 'POSITIVE', 'score': 0.9978815913200378}"
361,"{'label': 'POSITIVE', 'score': 0.9971869587898254}"
362,"{'label': 'NEGATIVE', 'score': 0.9967742562294006}"
363,"{'label': 'POSITIVE', 'score': 0.9971453547477722}"
364,"{'label': 'POSITIVE', 'score': 0.9985685348510742}"
365,"{'label': 'POSITIVE', 'score': 0.9981071949005127}"
366,"{'label': 'NEGATIVE', 'score': 0.9821776151657104}"
367,"{'label': 'POSITIVE', 'score': 0.9925313591957092}"
368,"{'label': 'POSITIVE', 'score': 0.998544454574585}"
369,"{'label': 'NEGATIVE', 'score': 0.9973534345626831}"
370,"{'label': 'POSITIVE', 'score': 0.9959084987640381}"
371,"{'label': 'POSITIVE', 'score': 0.9985315799713135}"
372,"{'label': 'POSITIVE', 'score': 0.9985138773918152}"
373,"{'label': 'NEGATIVE', 'score': 0.9938579201698303}"
374,"{'label': 'POSITIVE', 'score': 0.9969800114631653}"
375,"{'label': 'POSITIVE', 'score': 0.9978415966033936}"
376,"{'label': 'POSITIVE', 'score': 0.9977006316184998}"
377,"{'label': 'POSITIVE', 'score': 0.998522937297821}"
378,"{'label': 'POSITIVE', 'score': 0.9985207915306091}"
379,"{'label': 'POSITIVE', 'score': 0.9981082677841187}"
380,"{'label': 'POSITIVE', 'score': 0.9984983205795288}"
381,"{'label': 'POSITIVE', 'score': 0.9846871495246887}"
382,"{'label': 'POSITIVE', 'score': 0.9971693158149719}"
383,"{'label': 'POSITIVE', 'score': 0.9984211921691895}"
384,"{'label': 'POSITIVE', 'score': 0.9918340444564819}"
385,"{'label': 'NEGATIVE', 'score': 0.9985266923904419}"
386,"{'label': 'POSITIVE', 'score': 0.9939731955528259}"
387,"{'label': 'POSITIVE', 'score': 0.9917317032814026}"
388,"{'label': 'POSITIVE', 'score': 0.9983788728713989}"
389,"{'label': 'NEGATIVE', 'score': 0.9974932670593262}"
390,"{'label': 'POSITIVE', 'score': 0.9975551962852478}"
391,"{'label': 'POSITIVE', 'score': 0.9974888563156128}"
392,"{'label': 'POSITIVE', 'score': 0.9983876943588257}"
393,"{'label': 'POSITIVE', 'score': 0.9981231093406677}"
394,"{'label': 'POSITIVE', 'score': 0.9977905750274658}"
395,"{'label': 'POSITIVE', 'score': 0.9978969097137451}"
396,"{'label': 'POSITIVE', 'score': 0.998543381690979}"
397,"{'label': 'POSITIVE', 'score': 0.9983699917793274}"
398,"{'label': 'POSITIVE', 'score': 0.9971189498901367}"
399,"{'label': 'POSITIVE', 'score': 0.9986573457717896}"
400,"{'label': 'POSITIVE', 'score': 0.99798583984375}"
401,"{'label': 'POSITIVE', 'score': 0.9966623783111572}"
402,"{'label': 'POSITIVE', 'score': 0.9970589876174927}"
403,"{'label': 'POSITIVE', 'score': 0.9959053993225098}"
404,"{'label': 'POSITIVE', 'score': 0.9792664647102356}"
405,"{'label': 'POSITIVE', 'score': 0.9960122108459473}"
406,"{'label': 'POSITIVE', 'score': 0.9979597330093384}"
407,"{'label': 'POSITIVE', 'score': 0.9734503626823425}"
408,"{'label': 'POSITIVE', 'score': 0.9977814555168152}"
409,"{'label': 'POSITIVE', 'score': 0.9981319308280945}"
410,"{'label': 'POSITIVE', 'score': 0.9936302304267883}"
411,"{'label': 'POSITIVE', 'score': 0.9958617687225342}"
412,"{'label': 'POSITIVE', 'score': 0.993723452091217}"
413,"{'label': 'POSITIVE', 'score': 0.9980425834655762}"
414,"{'label': 'POSITIVE', 'score': 0.9965906143188477}"
415,"{'label': 'POSITIVE', 'score': 0.9983351826667786}"
416,"{'label': 'POSITIVE', 'score': 0.9970518350601196}"
417,"{'label': 'POSITIVE', 'score': 0.9964029788970947}"
418,"{'label': 'POSITIVE', 'score': 0.9973819851875305}"
419,"{'label': 'POSITIVE', 'score': 0.9984477758407593}"
420,"{'label': 'NEGATIVE', 'score': 0.9986459612846375}"
421,"{'label': 'POSITIVE', 'score': 0.9984580278396606}"
422,"{'label': 'NEGATIVE', 'score': 0.9853224754333496}"
423,"{'label': 'POSITIVE', 'score': 0.9920016527175903}"
424,"{'label': 'POSITIVE', 'score': 0.9986281394958496}"
425,"{'label': 'POSITIVE', 'score': 0.9975948929786682}"
426,"{'label': 'NEGATIVE', 'score': 0.9983822107315063}"
427,"{'label': 'POSITIVE', 'score': 0.9978876709938049}"
428,"{'label': 'NEGATIVE', 'score': 0.9883473515510559}"
429,"{'label': 'POSITIVE', 'score': 0.9977570176124573}"
430,"{'label': 'POSITIVE', 'score': 0.9980695843696594}"
431,"{'label': 'NEGATIVE', 'score': 0.9949028491973877}"
432,"{'label': 'POSITIVE', 'score': 0.9983537197113037}"
433,"{'label': 'POSITIVE', 'score': 0.9948157668113708}"
434,"{'label': 'POSITIVE', 'score': 0.9982606768608093}"
435,"{'label': 'POSITIVE', 'score': 0.9984073042869568}"
